bar_open_ns,known_at_ns,previous-18:00 / HLC3,previous-18:00 / close,previous-18:00 / OHLC4,previous-18:00 / native-trades,midnight-00:00 / HLC3,midnight-00:00 / close,midnight-00:00 / OHLC4,midnight-00:00 / native-trades,london-02:00 / HLC3,london-02:00 / close,london-02:00 / OHLC4,london-02:00 / native-trades,cash-09:30 / HLC3,cash-09:30 / close,cash-09:30 / OHLC4,cash-09:30 / native-trades
1771914300000000000,1771914360000000000,24830.99447586728,24831.44597709276,24830.902849264705,24830.758929581447,24852.14929862748,24852.16787592962,24852.323269998185,24852.02262833303,,,,,,,,
1771914360000000000,1771914420000000000,24830.986583874314,24831.43472339825,24830.895632232572,24830.750585661866,24851.833975162688,24851.836646964,24852.00889978506,24851.703071825184,,,,,,,,
1771914420000000000,1771914480000000000,24830.981641204886,24831.430752860928,24830.89053075145,24830.74452477592,24851.62512579174,24851.637719765582,24851.796783431007,24851.486281299945,,,,,,,,
1771914480000000000,1771914540000000000,24830.97873644176,24831.426954500635,24830.8879490069,24830.742238343428,24851.544735599615,24851.553027620397,24851.717632347732,24851.40948123229,,,,,,,,
1771914540000000000,1771914600000000000,24830.97616069338,24831.42992972593,24830.88187631764,24830.74175685172,24851.241503724385,24851.290415502794,24851.388999214385,24851.117842178766,,,,,,,,
1771914600000000000,1771914660000000000,24830.98488818519,24831.43472564735,24830.890064524716,24830.75474302208,24850.916423962073,24850.948860716122,24851.056107589517,24850.816729484322,,,,,,,,
1771914660000000000,1771914720000000000,24830.98275741369,24831.43061661673,24830.88873001316,24830.753605331687,24850.811675761703,24850.833987039565,24850.955128751706,24850.71742837653,,,,,,,,
1771914720000000000,1771914780000000000,24830.97867664197,24831.428240805482,24830.884329114808,24830.74800727171,24850.639302640484,24850.67510155721,24850.77904959377,24850.534867975624,,,,,,,,
1771914780000000000,1771914840000000000,24830.977460676677,24831.427255329254,24830.883191196604,24830.74651468164,24850.50633479089,24850.546165489406,24850.645055499495,24850.399428187015,,,,,,,,
1771914840000000000,1771914900000000000,24830.97855227883,24831.42875195487,24830.884104110813,24830.74747263181,24850.463750489285,24850.507045797684,24850.600811524913,24850.355728904546,,,,,,,,
1771914900000000000,1771914960000000000,24830.983823229242,24831.428164838835,24830.89228553137,24830.752971385624,24850.11667215002,24850.133245599605,24850.26643979273,24850.00760815924,,,,,,,,
1771914960000000000,1771915020000000000,24830.977287041424,24831.422601350412,24830.886675442496,24830.74569312845,24849.882123086936,24849.908783783783,24850.034842070985,24849.767461738847,,,,,,,,
1771915020000000000,1771915080000000000,24830.978397633542,24831.424089659195,24830.887472918923,24830.746784990137,24849.845624864625,24849.875446718648,24849.99595922677,24849.730588044185,,,,,,,,
1771915080000000000,1771915140000000000,24830.98091015073,24831.426471812807,24830.8900876426,24830.74950037472,24849.78700107874,24849.817677993527,24849.93699433657,24849.67269417476,,,,,,,,
1771915140000000000,1771915200000000000,24830.984170689313,24831.430068523554,24830.89311053931,24830.75292681573,24849.748319621438,24849.782222939182,24849.896192934346,24849.63461848685,,,,,,,,
1771915200000000000,1771915260000000000,24830.985484333258,24831.43114997365,24830.894478268106,24830.754306160372,24849.73478622837,24849.76780534966,24849.882704237836,24849.62133419272,,,,,,,,
1771915260000000000,1771915320000000000,24830.991173020808,24831.436086944475,24830.90033282999,24830.760293139756,24849.650573792358,24849.681825460368,24849.797958366693,24849.538110488393,,,,,,,,
1771915320000000000,1771915380000000000,24830.992774900056,24831.437723331765,24830.901884643084,24830.76180022714,24849.632968233655,24849.66501439079,24849.779720978575,24849.519787336103,,,,,,,,
1771915380000000000,1771915440000000000,24831.003560327263,24831.448303771547,24830.912437048617,24830.77311906804,24849.58234000847,24849.61570247934,24849.72631913541,24849.471511443106,,,,,,,,
1771915440000000000,1771915500000000000,24831.022536267912,24831.464535236937,24830.932016665745,24830.794011653597,24849.47721916731,24849.49968578162,24849.62193637078,24849.375923016494,,,,,,,,
1771915500000000000,1771915560000000000,24831.03290936318,24831.472542994157,24830.944057642486,24830.80517583508,24849.329268292673,24849.34309460929,24849.48075578686,24849.231008233648,,,,,,,,
1771915560000000000,1771915620000000000,24831.036484302553,24831.47653645905,24830.947361987273,24830.80833861326,24849.30118272905,24849.318484660675,24849.45051518438,24849.20026340254,,,,,,,,
1771915620000000000,1771915680000000000,24831.04079703362,24831.480994272813,24830.95162866898,24830.81275813646,24849.277404316686,24849.296631123474,24849.425851877608,24849.1767501159,,,,,,,,
1771915680000000000,1771915740000000000,24831.045438075063,24831.485448716183,24830.95639258882,24830.81756198916,24849.24999999999,24849.26941448382,24849.39843990755,24849.1498844376,,,,,,,,
1771915740000000000,1771915800000000000,24831.058347994218,24831.49842624663,24830.968909780637,24830.83012397603,24849.207625172246,24849.230056652887,24849.352386694227,24849.10476956056,,,,,,,,
1771915800000000000,1771915860000000000,24831.063215469723,24831.503097697674,24830.974181273697,24830.835052750153,24849.179260163834,24849.201877575942,24849.32555144253,24849.07636238742,,,,,,,,
1771915860000000000,1771915920000000000,24831.065391833756,24831.5051565504,24830.97641444658,24830.83731804449,24849.158210168105,24849.180938595153,24849.30438633247,24849.055576717965,,,,,,,,
1771915920000000000,1771915980000000000,24831.06761623651,24831.50707715541,24830.97861751785,24830.839600494237,24849.143009280382,24849.164688878747,24849.288709493383,24849.040506617985,,,,,,,,
1771915980000000000,1771916040000000000,24831.070650732243,24831.50909003595,24830.981835364015,24830.843438709144,24849.10221413405,24849.11957840461,24849.248180163784,24849.00375341219,,,,,,,,
1771916040000000000,1771916100000000000,24831.07322083003,24831.51105612371,24830.984702725305,24830.846249280286,24849.029278599446,24849.045351645036,24849.17574705705,24848.9315197706,,,,,,,,
1771916100000000000,1771916160000000000,24831.074822898987,24831.51300870899,24830.98661472312,24830.84797611875,24848.92762861856,24848.948215089247,24849.07434940753,24848.829758512074,,,,,,,,
1771916160000000000,1771916220000000000,24831.08080953163,24831.518713066318,24830.99215159225,24830.85473435106,24848.859085259744,24848.880499627143,24849.002022744222,24848.764690529453,,,,,,,,
1771916220000000000,1771916280000000000,24831.084142306332,24831.522190926742,24830.995380308457,24830.858124367634,24848.832254785273,24848.855511752456,24848.97404046415,24848.73783844094,,,,,,,,
1771916280000000000,1771916340000000000,24831.094430331344,24831.531727170914,24831.00542387118,24830.868959818625,24848.782966084975,24848.804606625257,24848.922064477963,24848.690734989646,,,,,,,,
1771916340000000000,1771916400000000000,24831.097293140017,24831.534104251426,24831.008408308986,24830.87204079404,24848.761892463586,24848.781766528926,24848.901176948053,24848.670565230223,,,,,,,,
1771916400000000000,1771916460000000000,24831.10573339878,24831.541357637565,24831.01708805966,24830.880896547966,24848.675272203494,24848.691885161857,24848.81413871393,24848.58517650505,24837.166666666668,24836.75,24837.25,24837.240196078434,,,,
1771916460000000000,1771916520000000000,24831.127809230886,24831.56782302186,24831.03640885707,24830.903903209124,24848.627248984318,24848.67121300058,24848.74928358967,24848.54084445734,24840.762212643676,24842.213362068964,24839.87661637931,24840.963362068964,,,,
1771916520000000000,1771916580000000000,24831.180863627727,24831.625071267612,24831.086878614286,24830.956187386313,24848.671509686024,24848.74291440023,24848.77704516175,24848.579194102487,24845.75515873016,24847.489285714284,24844.771726190476,24845.63095238095,,,,
1771916580000000000,1771916640000000000,24831.223677793434,24831.66596672808,24831.13039178498,24831.000494472744,24848.709519425942,24848.774854836425,24848.816589364113,24848.62360147288,24847.46432748538,24848.610526315788,24846.80548245614,24847.507017543856,,,,
1771916640000000000,1771916700000000000,24831.256306269774,24831.691242869118,24831.16642333793,24831.036816989756,24848.685072362263,24848.71649159664,24848.80755427171,24848.616771708683,24847.25503663004,24847.501373626375,24847.06473214286,24847.615384615383,,,,
1771916700000000000,1771916760000000000,24831.29985436108,24831.74108635849,24831.206817384973,24831.07857085064,24848.6890356336,24848.757813580418,24848.792672175357,24848.6096321394,24847.60402930403,24848.4010989011,24847.176785714284,24847.7021978022,,,,
1771916760000000000,1771916820000000000,24831.496778321787,24831.945146748,24831.39565274099,24831.27253391123,24848.976029216457,24849.095019920318,24849.031706507303,24848.87629482072,24850.900419982318,24851.910145888593,24850.20474137931,24850.725132625998,,,,
1771916820000000000,1771916880000000000,24831.537497328776,24831.983451757667,24831.436498290415,24831.313167806387,24849.04100232792,24849.150645671365,24849.096084793782,24848.939880089605,24851.367261172614,24852.225092250923,24850.720556580567,24851.184501845015,,,,
1771916880000000000,1771916940000000000,24831.570785208107,24832.015637920456,24831.470518018617,24831.346888420605,24849.08290805198,24849.189479193927,24849.140498233446,24848.983054174296,24851.594688221714,24852.379618937644,24851.013062933027,24851.428117782907,,,,
1771916940000000000,1771917000000000000,24831.611850806417,24832.05906984795,24831.511363938967,24831.38652704178,24849.13758759407,24849.25849987023,24849.192796197767,24849.029749545807,24851.874910394272,24852.731989247313,24851.31754032258,24851.64677419355,,,,
1771917000000000000,1771917060000000000,24831.64000230515,24832.085917759396,24831.540169428412,24831.41492672288,24849.174655913965,24849.291096774192,24849.232153225807,24849.06735483871,24852.046201232035,24852.834445585217,24851.534715092403,24851.82777207392,,,,
1771917060000000000,1771917120000000000,24831.664381620438,24832.109662291423,24831.56467378308,24831.43904772027,24849.204658278755,24849.31968160226,24849.261972011813,24849.09551932212,24852.16633761106,24852.917818361304,24851.675345508393,24851.938055281345,,,,
1771917120000000000,1771917180000000000,24831.723545990266,24832.170399427498,24831.623519043707,24831.497919372367,24849.28090374692,24849.407352194874,24849.33483728749,24849.16899264146,24852.460669077762,24853.24005424955,24851.991693037973,24852.222649186257,,,,
1771917180000000000,1771917240000000000,24831.7452579549,24832.190493843507,24831.645505097313,24831.52065404475,24849.304632903917,24849.424823187674,24849.359173718112,24849.197082596613,24852.524956217167,24853.24036777583,24852.07667469352,24852.321147110328,,,,
1771917240000000000,1771917300000000000,24831.76802469136,24832.21416005291,24831.667534722223,24831.543353174606,24849.33556519551,24849.46146108387,24849.38592355086,24849.22717842324,24852.638204474657,24853.374468988954,24852.176614273576,24852.4316057774,,,,
1771917300000000000,1771917360000000000,24831.80128476075,24832.246308184076,24831.702067482962,24831.576880910867,24849.37432871236,24849.497127513427,24849.42968652429,24849.26642312976,24852.745464392097,24853.434809098293,24852.338850528027,24852.546303818035,,,,
1771917360000000000,1771917420000000000,24831.828043514586,24832.272491623353,24831.729520090757,24831.603355934887,24849.393340367413,24849.51539225422,24849.451022529793,24849.283391261168,24852.736067708338,24853.3990234375,24852.361767578124,24852.5275390625,,,,
