as_of_ns,volume,price_ticks_times_volume,vwap
1771946460000000000,228438,22700206651,24842.85303999334611579509539
1771946520000000000,230856,22941275956,24843.70771823127837266521121
1771946580000000000,232501,23105353716,24844.35950383009105337181345
1771946640000000000,234402,23294968304,24845.10403494850726529637119
1771946700000000000,235578,23412313889,24845.60728187691550144750359
1771946760000000000,237312,23585364597,24846.36743717131877022653722
1771946820000000000,240749,23928551873,24848.02831268250335411569726
1771946880000000000,242921,24145603306,24849.23422223685889651368140
1771946940000000000,245205,24373963430,24850.59789767745355926673600
1771947000000000000,247212,24574698459,24851.84624836173001310615990
1771947060000000000,249824,24836058248,24853.55515082618163186883566
1771947120000000000,252900,25143787676,24855.46429023329379201265322
1771947180000000000,254345,25288359688,24856.35621694941909610961489
1771947240000000000,255842,25438146137,24857.28119014860734359487496
1771947300000000000,257795,25633513932,24858.42814251634050311293858
1771947360000000000,259712,25825211873,24859.47113822233859043863972
1771947420000000000,261323,25986283484,24860.31030946376706221802138
1771947480000000000,262314,26085410122,24860.86343275616246178244394
1771947540000000000,263339,26187902082,24861.39736423393420647910108
1771947600000000000,264668,26320795579,24862.08719886801577825804404
