price,volume
24894.25,22
24894.5,20
24894.75,33
24895.0,34
24895.25,30
24895.5,30
24895.75,18
24896.0,31
24896.25,28
24896.5,30
24896.75,19
24897.0,28
24897.25,40
24897.5,23
24897.75,30
24898.0,46
24898.25,33
24898.5,20
24898.75,24
24899.0,30
24899.25,19
24899.5,35
24899.75,17
24900.0,44
24900.25,17
24900.5,17
24900.75,18
24901.0,20
24901.25,29
24901.5,23
24901.75,42
24902.0,69
24902.25,46
24902.5,50
24902.75,42
24903.0,47
24903.25,41
24903.5,46
24903.75,42
24904.0,54
24904.25,80
24904.5,68
24904.75,67
24905.0,90
24905.25,61
24905.5,81
24905.75,63
24906.0,133
24906.25,87
24906.5,103
24906.75,84
24907.0,73
24907.25,88
24907.5,66
24907.75,81
24908.0,115
24908.25,116
24908.5,112
24908.75,133
24909.0,129
24909.25,119
24909.5,92
24909.75,90
24910.0,148
24910.25,88
24910.5,95
24910.75,85
24911.0,131
24911.25,96
24911.5,120
24911.75,138
24912.0,163
24912.25,107
24912.5,204
24912.75,155
24913.0,190
24913.25,165
24913.5,145
24913.75,150
24914.0,211
24914.25,148
24914.5,172
24914.75,333
24915.0,282
24915.25,162
24915.5,139
24915.75,236
24916.0,214
24916.25,173
24916.5,144
24916.75,128
24917.0,191
24917.25,159
24917.5,208
24917.75,199
24918.0,198
24918.25,211
24918.5,150
24918.75,130
24919.0,174
24919.25,153
24919.5,165
24919.75,170
24920.0,267
24920.25,184
24920.5,185
24920.75,183
24921.0,185
24921.25,192
24921.5,208
24921.75,159
24922.0,189
24922.25,128
24922.5,125
24922.75,205
24923.0,239
24923.25,183
24923.5,194
24923.75,201
24924.0,206
24924.25,165
24924.5,181
24924.75,191
24925.0,212
24925.25,210
24925.5,223
24925.75,212
24926.0,221
24926.25,193
24926.5,231
24926.75,218
24927.0,244
24927.25,199
24927.5,195
24927.75,222
24928.0,269
24928.25,234
24928.5,205
24928.75,209
24929.0,179
24929.25,185
24929.5,188
24929.75,188
24930.0,380
24930.25,200
24930.5,256
24930.75,201
24931.0,195
24931.25,178
24931.5,163
24931.75,174
24932.0,219
24932.25,187
24932.5,174
24932.75,165
24933.0,182
24933.25,169
24933.5,155
24933.75,149
24934.0,152
24934.25,103
24934.5,147
24934.75,127
24935.0,126
24935.25,84
24935.5,129
24935.75,142
24936.0,133
24936.25,104
24936.5,80
24936.75,94
24937.0,94
24937.25,101
24937.5,92
24937.75,101
24938.0,112
24938.25,98
24938.5,108
24938.75,188
24939.0,237
24939.25,135
24939.5,113
24939.75,110
24940.0,179
24940.25,122
24940.5,153
24940.75,122
24941.0,101
24941.25,89
24941.5,80
24941.75,96
24942.0,114
24942.25,112
24942.5,87
24942.75,88
24943.0,72
24943.25,87
24943.5,86
24943.75,66
24944.0,82
24944.25,88
24944.5,94
24944.75,114
24945.0,157
24945.25,114
24945.5,130
24945.75,185
24946.0,89
24946.25,69
24946.5,104
24946.75,119
24947.0,105
24947.25,101
24947.5,100
24947.75,101
24948.0,130
24948.25,110
24948.5,97
24948.75,123
24949.0,100
24949.25,90
24949.5,58
24949.75,71
24950.0,135
24950.25,39
24950.5,54
24950.75,98
24951.0,39
24951.25,75
24951.5,72
24951.75,46
24952.0,49
24952.25,51
24952.5,52
24952.75,31
24953.0,18
24953.25,24
24953.5,21
24953.75,23
24954.0,68
24954.25,42
24954.5,159
24954.75,42
24955.0,81
24955.25,64
24955.5,57
24955.75,96
24956.0,128
24956.25,136
24956.5,127
24956.75,120
24957.0,115
24957.25,72
24957.5,71
24957.75,65
24958.0,46
24958.25,40
24958.5,24
24958.75,26
24959.0,118
24959.25,33
24959.5,21
24959.75,12
24960.0,42
24960.25,11
24960.5,13
24960.75,17
24961.0,29
24961.25,25
24961.5,16
24961.75,31
24962.0,35
24962.25,27
24962.5,46
24962.75,25
24963.0,37
24963.25,29
24963.5,29
24963.75,10
24964.0,11
24964.25,29
