as_of_ns,volume,price_ticks_times_volume,vwap
1771945020000000000,87165,8660840134,24840.36062066196294384213847
1771945080000000000,89249,8868247391,24841.30744041950049860502639
1771945140000000000,90504,8993112610,24841.75453571112878988773977
1771945200000000000,91480,9090217401,24842.08953049846961084390031
1771945260000000000,95076,9447568734,24842.14926479868736589675628
1771945320000000000,97084,9647080067,24842.09567745457541922458902
1771945380000000000,98953,9832860143,24842.24870140369670449607389
1771945440000000000,101095,10045886853,24842.68968049854097630941194
1771945500000000000,102420,10177575915,24842.74535002929115407147042
1771945560000000000,103584,10293280402,24842.83384016836577077540933
1771945620000000000,105705,10504363419,24843.58218390804597701149425
1771945680000000000,108103,10742844939,24844.00280056982692432217422
1771945740000000000,109353,10867173881,24844.25182893930664910884932
1771945800000000000,111740,11104843060,24845.27264184714515840343655
1771945860000000000,113759,11305956619,24846.29044515159240148032244
1771945920000000000,115331,11462579516,24847.13458653787793394664054
1771945980000000000,116551,11584120909,24847.75100385239079887774451
1771946040000000000,118549,11782971811,24848.31548768863507916557710
1771946100000000000,119986,11925880668,24848.48371476672278432483790
1771946160000000000,121280,12054569392,24848.63413588390501319261214
1771946220000000000,122704,12196283867,24848.99405683596296779241101
1771946280000000000,123573,12282740008,24849.15800377105031034287425
1771946340000000000,124844,12409148529,24849.30899562654192432155330
1771946400000000000,126596,12583565780,24849.84869190179784511358969
1771946460000000000,128420,12765248004,24850.58402896745055287338421
1771946520000000000,130838,13006317309,24851.94918334123114080007337
1771946580000000000,132483,13170395069,24852.99070258070846825630458
1771946640000000000,134384,13360009657,24854.16726879688058102155018
1771946700000000000,135560,13477355242,24854.96319341988787252876955
1771946760000000000,137294,13650405950,24856.15895450638775183183533
1771946820000000000,140731,13993593226,24858.76108675416219596251004
1771946880000000000,142903,14210644659,24860.64788527882549701545804
1771946940000000000,145187,14439004783,24862.77143098211272359095511
1771947000000000000,147194,14639739812,24864.70204627906028778346943
1771947060000000000,149806,14901099601,24867.32774555091251351748261
1771947120000000000,152882,15208829029,24870.20877048965869101660104
1771947180000000000,154327,15353401041,24871.54069119467105561567321
1771947240000000000,155824,15503187490,24872.91349535373241605914365
1771947300000000000,157777,15698555285,24874.59402352687654094069478
1771947360000000000,159694,15890253226,24876.09619960674790536901825
1771947420000000000,161305,16051324837,24877.28966399057685750596696
1771947480000000000,162296,16150451475,24878.07998194656676689505595
1771947540000000000,163321,16252943435,24878.83284299018497315103385
1771947600000000000,164650,16385836932,24879.80098997874278773155178
